aggregation_level,service_mode,reporting_group,measure_group,measure,category,weighted_percent,ObjectId
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Park Street,Access Mode,Access to First MBTA Service,Taxi or Rideshare Company,0.0188127713359345,7885
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Park Street,Access Mode,Access to First MBTA Service,"Bike, Scooter or Other Micromobility",0.0168621201296917,7886
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Park Street,Access Mode,Access to First MBTA Service,The RIDE,0.00192647139638402,7887
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Medford/Tufts,Fares,Reduced Fares,Student (S-Card or M7),0.00223621458869036,7888
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Prudential,Access Mode,Access to First MBTA Service,Walked,0.979063737507071,7889
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Medford/Tufts,Fares,Reduced Fares,Senior CharlieCard,0.000730753170259994,7890
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Trip Purpose and Frequency,Frequency,6 to 7 days per week,0.0262276464838135,7891
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Fares,Fare Product,Monthly Pass,0.497171265608139,7892
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Income,Household Income,200% or more of Area Median Income,0.00457002017297985,7893
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Prudential,Access Mode,Access to First MBTA Service,Carpooled or Dropped off by Personal Vehicle,0.00689703941165378,7894
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Medford/Tufts,Fares,Reduced Fares,Transportation Access Pass (TAP),0.0129667479835608,7895
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Trip Purpose and Frequency,Frequency,5 days per week,0.410089989074809,7896
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Fares,Fare Product,Pay-as-you-go,0.313765993525513,7897
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Income,Household Income,Prefer not to say,0.107787584996774,7898
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Prudential,Access Mode,Access to First MBTA Service,"Bike, Scooter or Other Micromobility",0.0105270601546295,7899
